id_avaliacao,id_usuario,id_livro,nota,comentario,data_avaliacao
1,1312,3703,5,Leitura sonho,2026-06-08
2,2486,3646,3,Mundo fogo silencio,2025-11-27
3,5162,921,3,Historia leitura silencio vento,2025-12-19
4,3211,3514,2,Tempo silencio,2025-10-07
5,1446,349,4,Mundo sombra memoria historia,2026-02-07
6,4949,2360,4,Sonho memoria fogo,2025-07-12
7,8978,1807,2,Memoria mundo cidade mar,2025-08-02
8,3866,2398,4,Leitura sombra leitura dados,2025-08-11
9,2096,4197,5,Mundo mar luz silencio,2026-02-17
10,9302,91,5,Vento cidade leitura cidade,2025-10-24
11,7367,311,3,Sonho luz sombra dados,2026-01-05
12,1284,363,5,Silencio sombra sonho,2025-08-06
13,5466,3945,5,Dados memoria vento,2025-11-19
14,4949,3969,5,Sonho dados,2025-07-22
15,2701,4164,4,Tempo leitura memoria,2026-04-27
16,5066,2474,3,Mar vento,2025-10-07
17,4056,4812,2,Mar tempo mundo,2025-11-07
18,1610,1098,3,Dados dados,2025-12-22
19,580,854,3,Memoria vento,2025-07-08
20,2393,2279,5,Leitura fogo,2025-12-02
21,5702,1820,3,Fogo tempo,2025-11-08
22,6616,561,4,Vento mar,2026-06-12
23,319,1541,4,Fogo silencio luz leitura,2026-04-09
24,7910,548,2,Cidade memoria,2026-06-03
25,5402,174,4,Silencio cidade,2025-06-15
26,7737,4629,4,Silencio sombra,2026-04-06
27,6862,2153,2,Leitura sonho fogo,2026-01-26
28,8788,2954,3,Leitura memoria tempo,2025-11-14
29,3863,189,3,Memoria sonho,2025-07-24
30,2309,3568,3,Dados leitura silencio mar,2025-08-03
31,7688,1727,5,Vento fogo historia dados,2025-10-30
32,7367,672,5,Cidade luz luz,2026-04-22
33,4854,862,3,Luz silencio leitura,2026-05-08
34,3788,3866,4,Fogo mundo,2025-07-19
35,7053,4029,3,Tempo mar silencio dados,2025-10-10
36,2648,420,3,Tempo luz mar tempo,2026-01-15
37,7677,2191,4,Luz luz dados fogo,2026-01-20
38,8930,3327,4,Sonho luz,2026-05-30
39,8001,3539,3,Fogo dados mar,2026-01-05
40,6104,4567,4,Dados tempo luz,2026-05-25
41,5018,649,5,Fogo silencio vento sombra,2026-05-19
42,5771,4676,2,Sonho mundo,2026-02-22
43,7799,4449,1,Fogo mundo mundo dados,2025-08-22
44,8507,3386,4,Historia memoria,2025-09-15
45,2032,305,2,Memoria historia fogo memoria,2025-08-15
46,3083,3464,2,Sombra luz historia,2026-05-28
47,2573,4728,3,Historia memoria mundo,2026-02-12
48,128,2388,2,Memoria dados luz memoria,2025-09-20
49,1488,1769,5,Dados tempo,2026-01-14
50,7547,237,2,Sonho historia fogo,2026-01-03
51,9659,160,3,Leitura historia tempo,2025-07-04
52,3,912,5,Fogo dados,2026-01-16
53,4503,287,4,Sombra sonho,2026-02-28
54,6252,1783,4,Memoria sombra mar fogo,2026-01-12
55,4519,4832,4,Fogo historia,2026-02-25
56,9665,3070,4,Tempo mundo,2025-10-20
57,5000,3889,3,Sombra memoria mar memoria,2026-01-07
58,3767,3389,3,Luz cidade luz,2025-09-30
59,8023,1548,3,Mundo historia,2025-12-19
60,6953,4443,3,Mundo sonho,2026-01-10
61,7645,1960,5,Sombra cidade leitura luz,2025-10-26
62,4997,1882,2,Vento leitura,2025-10-08
63,3097,2576,3,Vento leitura cidade silencio,2026-03-01
64,7717,4467,4,Vento tempo,2026-03-22
65,9888,1535,5,Leitura sonho sonho leitura,2025-10-19
66,2649,1833,4,Historia mar sombra,2025-10-30
67,3535,891,5,Mar cidade mundo fogo,2026-02-20
68,2275,2954,2,Silencio tempo,2025-09-17
69,3873,1386,4,Cidade mar mundo,2026-05-29
70,8093,3484,3,Tempo silencio vento,2026-02-10
71,9260,4834,3,Leitura fogo historia,2025-11-22
72,7508,1775,4,Tempo dados,2026-03-07
73,3998,3091,6,Luz mar,2026-01-29
74,4488,1132,4,Silencio leitura cidade tempo,2026-03-29
75,2957,1957,2,Mar sonho mar dados,2025-07-15
76,6160,1548,4,Dados mar sombra leitura,2026-06-14
77,2456,3001,4,Mundo historia leitura,2026-02-06
78,4855,3966,2,Mundo leitura,2025-10-30
79,2577,2766,2,Sonho sombra dados,2025-09-17
80,3062,2122,5,Vento tempo silencio silencio,2025-11-25
81,8940,908,2,Dados sonho sonho,2025-07-05
82,2935,1260,4,Cidade fogo,2025-11-08
83,2453,748,5,Mundo mar vento,2025-08-29
84,4914,2882,5,Fogo mar cidade memoria,2025-12-02
85,1217,3540,3,Fogo fogo cidade,2025-06-26
86,7980,2158,4,Mar fogo,2025-07-11
87,8642,4472,3,Leitura sonho,2025-09-26
88,3612,3510,3,Memoria silencio fogo sonho,2025-11-02
89,9494,809,4,Sombra vento,2026-04-04
90,6080,4993,3,Silencio mar,2026-05-19
91,437,1301,3,Memoria dados sombra,2025-12-30
92,6743,1,3,Leitura silencio,2026-03-07
93,4056,2841,3,Memoria mar cidade mundo,2026-04-09
94,2094,3250,4,Sonho tempo,2026-03-02
95,8321,1069,4,Leitura mar dados luz,2026-03-22
96,7197,4137,2,Mundo vento silencio dados,2025-09-30
97,8374,44,5,Mundo fogo historia,2026-06-09
98,3989,4308,4,Memoria mar dados vento,2025-09-30
99,209,1964,3,Sombra leitura mundo sombra,2025-12-06
100,214,4993,2,Historia dados sombra mar,2025-07-15
101,4589,3044,3,Mar luz historia mar,2026-01-08
102,7750,4686,3,Sonho luz,2025-11-05
103,7613,2246,4,Historia sombra tempo,2026-03-27
104,6852,1739,4,Cidade vento luz,2025-11-30
105,3850,1678,5,Vento sonho memoria,2025-06-25
106,3443,4691,4,Tempo tempo sombra memoria,2026-05-10
107,9331,1460,3,Fogo fogo leitura,2026-01-02
108,108,206,4,Historia vento fogo,2025-07-22
109,8999,4507,2,Vento fogo silencio sonho,2026-04-08
110,5296,1314,5,Silencio mundo,2025-06-16
111,3384,1855,2,Vento tempo dados luz,2026-01-27
112,9043,2157,4,Fogo mar memoria,2025-07-22
113,3830,4788,4,Mundo leitura tempo,2026-03-06
114,3982,1932,4,Vento dados vento,2026-01-15
115,132,3455,3,Luz cidade tempo mar,2025-12-27
116,1193,4965,2,Memoria fogo,2026-01-26
117,9013,4802,2,Leitura mar mar,2025-09-26
118,2683,671,3,Memoria luz,2025-12-14
119,8016,2268,3,Mundo historia,2025-10-15
120,4440,288,2,Sombra silencio,2026-02-22
121,7678,2978,4,Leitura luz dados,2025-11-29
122,5843,3323,3,Mundo luz cidade,2026-04-03
123,1228,1025,3,Cidade sonho sonho historia,2026-02-26
124,2568,1476,3,Dados mar memoria mar,2026-03-17
125,7196,3521,3,Mundo sombra fogo tempo,2025-08-12
126,4535,784,3,Silencio mar cidade,2025-08-27
127,7965,1244,5,Luz silencio vento,2025-06-24
128,2712,400,4,Sonho tempo,2025-10-28
129,4328,1393,5,Historia mundo dados,2026-04-04
130,6970,3417,3,Mar mar,2026-04-02
131,2314,2635,3,Memoria sombra,2025-09-13
132,808,1503,3,Mundo sombra memoria sonho,2025-10-23
133,901,3062,2,Memoria luz,2025-12-21
134,9248,1483,3,Sonho sonho luz cidade,2026-03-04
135,7005,4158,4,Historia cidade,2025-06-25
136,7049,2432,4,Sonho leitura silencio dados,2026-03-31
137,6678,2440,4,Memoria historia cidade historia,2025-06-17
138,967,1724,4,Silencio memoria,2026-04-03
139,7620,4943,4,Historia memoria,2026-02-12
140,782,3413,4,Cidade luz,2025-10-25
141,5761,2263,5,Fogo cidade leitura,2026-01-13
142,1980,1173,4,Cidade historia mundo mundo,2026-06-02
143,3477,1911,4,Mar fogo,2025-07-26
144,2998,4068,4,Dados luz,2025-09-22
145,8259,217,2,Tempo leitura mar,2026-06-12
146,9473,4625,4,Sonho memoria fogo sonho,2026-05-11
147,7648,4590,3,Vento memoria,2026-03-29
148,7096,226,4,Mar historia leitura historia,2026-03-08
149,2843,1362,2,Sonho dados historia,2026-04-02
150,917,3671,2,Dados sonho sombra mar,2026-03-12
151,3222,3229,5,Sonho cidade sombra vento,2026-04-03
152,5594,3630,3,Sombra luz mar,2025-08-21
153,4201,2468,3,Sombra mar fogo historia,2025-07-31
154,6900,3758,4,Fogo fogo vento,2026-05-28
155,130,3903,3,Mundo fogo,2025-08-28
156,6503,4623,5,Silencio leitura memoria,2025-06-29
157,6323,1641,3,Mundo vento,2026-03-23
158,7256,4911,4,Dados silencio,2026-02-09
159,5600,4629,5,Sombra tempo memoria,2025-06-18
160,7177,1890,3,Mundo fogo historia vento,2026-01-19
161,5052,4305,3,Silencio silencio sonho sonho,2026-02-09
162,9918,229,5,Historia vento luz historia,2025-10-25
163,2909,4423,4,Mundo tempo sonho memoria,2025-07-24
164,8563,3789,3,Sombra mar luz,2025-08-30
165,1922,4221,3,Mundo leitura mar fogo,2025-12-07
166,5577,842,3,Tempo sombra memoria,2025-09-25
167,4198,1240,2,Dados historia luz silencio,2025-09-17
168,6721,4275,2,Fogo historia mundo sombra,2025-10-09
169,4151,4209,3,Memoria fogo,2025-07-01
170,2793,349,4,Mar mar,2025-07-07
171,3751,853,2,Tempo mar vento,2025-07-22
172,5379,1723,2,Vento fogo mar tempo,2026-02-14
173,9098,4832,4,Mundo luz sonho mar,2026-03-14
174,988,968,3,Tempo mundo,2025-09-23
175,660,1483,4,Sonho sombra leitura,2025-09-21
176,6101,2271,3,Historia memoria mundo,2025-08-09
177,8704,320,3,Sombra sombra,2026-02-17
178,429,2419,2,Mar sombra memoria mundo,2026-02-28
179,6042,217,3,Sombra historia,2025-08-13
180,2587,1330,5,Silencio silencio cidade sonho,2025-09-07
181,4670,1286,4,Fogo historia mar,2026-02-10
182,7133,3475,3,Historia historia,2026-01-12
183,4150,1051,3,Sonho mundo cidade memoria,2025-06-23
184,6392,1489,1,Mundo leitura historia,2026-01-09
185,2627,3519,4,Mar leitura luz dados,2025-11-19
186,4898,2121,4,Memoria mar leitura,2026-02-13
187,1429,3039,5,Sonho tempo historia cidade,2025-07-11
188,2785,108,5,Luz fogo mar,2026-03-17
189,7874,4277,2,Fogo leitura historia,2026-05-29
190,9693,4221,4,Mar cidade,2025-08-30
191,3428,106,3,Sonho sombra sonho fogo,2026-05-23
192,333,3954,2,Dados mundo luz,2025-11-29
193,7717,3027,3,Fogo mar,2025-12-31
194,2033,1994,0,Luz sombra,2026-03-07
195,9918,3643,4,Luz luz luz mundo,2025-07-31
196,2699,4205,3,Mundo cidade,2025-11-11
197,8152,287,4,Fogo leitura,2025-07-03
198,1815,2319,4,Cidade tempo,2026-03-28
199,2345,2580,5,Historia tempo silencio luz,2025-08-17
200,1756,4058,5,Tempo sombra,2025-12-29
201,4311,2391,4,Mundo dados vento fogo,2026-04-27
202,5505,4185,5,Luz leitura historia sonho,2025-09-23
203,9571,2667,5,Vento fogo cidade,2026-03-05
204,3501,3169,3,Sonho mar fogo sombra,2025-06-20
205,4677,3532,2,Memoria mundo silencio,2025-11-14
206,1233,395,5,Cidade sombra memoria vento,2025-10-16
207,6039,2410,5,Silencio fogo,2025-07-26
208,6843,1899,2,Silencio leitura fogo,2026-01-21
209,3506,4645,5,Sonho vento,2025-10-18
210,5033,3640,4,Sonho memoria sonho,2026-02-20
211,2749,4277,3,Historia leitura historia,2025-08-05
212,878,2369,1,Leitura dados,2025-11-08
213,4684,2209,5,Cidade tempo luz,2025-09-29
214,7116,3809,4,Mar silencio mar,2026-03-19
215,1669,339,5,Luz luz historia,2026-03-18
216,13,4641,4,Leitura memoria memoria luz,2025-08-06
217,531,513,3,Cidade tempo sombra,2025-06-14
218,6057,143,2,Memoria leitura,2026-02-17
219,4876,2944,4,Leitura vento sombra,2025-12-25
220,3738,1305,4,Historia sonho sonho fogo,2025-08-20
221,2344,1364,4,Dados silencio sombra,2026-04-04
222,3541,784,5,Vento memoria,2025-11-16
223,4287,2808,4,Tempo leitura,2025-11-24
224,104,137,4,Tempo silencio cidade dados,2025-08-03
225,4926,2253,3,Mar fogo tempo fogo,2026-03-15
226,3528,1833,3,Historia fogo,2025-10-15
227,1560,2294,4,Cidade memoria sombra,2025-10-07
228,3964,105,4,Mar sombra,2025-12-16
229,5423,300,4,Leitura mundo historia fogo,2026-03-29
230,8448,117,4,Sombra silencio mundo,2026-03-10
231,5261,4870,4,Mundo dados sombra cidade,2026-03-07
232,9045,4098,4,Tempo memoria mundo leitura,2025-11-13
233,3210,4112,3,Memoria dados historia,2025-11-06
234,401,1578,3,Tempo memoria,2025-08-27
235,4222,1006,3,Historia luz,2026-02-07
236,7029,279,2,Dados luz,2026-04-06
237,4149,4178,3,Tempo sombra,2025-10-10
238,4160,4277,4,Sonho fogo sonho,2026-04-06
239,2481,1608,2,Silencio luz mar tempo,2026-02-14
240,8085,2366,2,Memoria cidade memoria cidade,2026-02-27
241,6158,4273,3,Mar tempo,2026-05-23
242,2209,4446,5,Historia fogo luz,2025-10-05
243,7462,3117,5,Leitura memoria,2026-04-28
244,9458,1819,2,Luz cidade silencio,2025-08-21
245,1169,4305,3,Dados fogo leitura,2025-10-21
246,50,2098,3,Sonho historia,2025-06-24
247,6072,2307,2,Sombra tempo sombra luz,2026-01-23
248,7156,2757,4,Mundo silencio mar,2026-02-04
249,8665,1095,3,Cidade mar,2026-04-10
250,7064,3187,4,Vento vento,2026-03-22
251,1458,1247,4,Tempo silencio sombra,2026-06-09
252,9980,456,4,Luz silencio memoria leitura,2025-06-24
253,4498,1014,4,Memoria tempo,2025-07-01
254,9914,79,2,Leitura mundo fogo,2025-08-03
255,7762,549,4,Dados memoria luz tempo,2025-06-26
256,2700,3900,3,Mar luz memoria,2026-03-09
257,3244,2581,3,Sonho mundo,2025-09-02
258,4045,2346,4,Memoria vento vento silencio,2026-05-14
259,8213,2968,3,Luz mundo luz leitura,2026-05-21
260,7805,4739,4,Fogo luz,2025-11-19
261,6718,3078,3,Luz luz,2026-03-21
262,9055,279,3,Memoria cidade,2025-08-06
263,9042,2258,3,Tempo luz dados,2026-05-18
264,4579,1483,3,Luz memoria mundo historia,2025-06-16
265,6525,1222,3,Tempo memoria,2026-03-08
266,4429,4002,3,Tempo sonho historia,2025-11-06
267,5158,4804,4,Mundo luz memoria historia,2026-02-23
268,9012,2430,4,Silencio cidade silencio,2025-07-20
269,9848,2220,3,Historia memoria,2026-01-31
270,3702,2117,4,Luz cidade dados,2025-08-21
271,6687,1007,5,Memoria silencio silencio fogo,2025-08-29
272,4473,1476,3,Mundo fogo sonho luz,2026-05-11
273,3000,906,3,Historia historia historia,2025-10-23
274,5452,1482,3,Fogo cidade dados,2025-08-01
275,9506,4845,4,Memoria tempo sombra cidade,2025-12-23
276,9720,2662,3,Sonho mar cidade luz,2026-05-09
277,4690,3649,4,Mar dados mundo,2026-01-29
