id_emprestimo,id_usuario,id_livro,data_emprestimo,data_devolucao
1,1391,4637,2026-05-11,2026-05-19
2,6767,3477,2026-04-02,2026-04-15
3,6986,4517,2026-03-20,2026-03-23
4,1507,4533,2026-01-26,2026-02-17
5,8273,734,2025-08-19,2025-09-03
6,7512,1795,2026-05-16,2026-06-09
7,509,2608,2026-06-13,2026-07-07
8,8703,2614,2025-10-15,2025-10-17
9,6373,262,2026-01-23,2026-02-04
10,1904,4514,2026-05-13,2026-06-08
11,2088,765,2026-04-07,2026-05-05
12,5458,2312,2025-09-11,2025-09-27
13,877,429,2025-06-27,2025-07-16
14,4836,920,2026-05-27,2026-06-11
15,8960,3231,2026-01-25,2026-02-03
16,3442,3411,2026-03-17,2026-03-26
17,5641,4325,2026-04-12,2026-04-18
18,8966,4506,2025-11-26,2025-12-13
19,6062,842,2025-11-28,2025-12-25
20,4207,3052,2026-02-17,2026-03-04
21,8398,1803,2026-04-26,2026-05-20
22,5048,1031,2025-11-03,2025-11-20
23,5442,674,2026-06-03,2026-06-05
24,4394,3028,2026-01-06,2026-01-30
25,7585,3266,2025-09-12,2025-09-23
26,5015,2091,2025-06-17,
27,1192,2276,2025-11-07,2025-11-23
28,7790,4468,2026-05-07,
29,4667,689,2025-08-10,2025-08-30
30,6040,3968,2025-11-01,2025-11-29
31,4241,2422,2025-12-18,2025-12-28
32,8191,361,2026-01-30,
33,5516,3891,2026-02-09,
34,8196,78,2025-10-12,2025-10-19
35,6998,2757,2025-06-30,2025-07-24
36,9208,222,2026-03-31,2026-04-27
37,7795,1810,2026-05-25,2026-05-28
38,7781,4550,2026-05-09,2026-05-21
39,7884,2543,2026-02-15,2026-03-05
40,3163,674,2026-03-05,2026-03-15
41,2986,2388,2026-05-18,2026-06-03
42,3984,3391,2026-06-12,
43,6692,2547,2025-07-28,2025-08-02
44,9485,2974,2026-04-10,2026-05-04
45,4823,1091,2026-02-21,2026-03-08
46,4228,325,2026-03-28,
47,837,2553,2025-11-10,2025-11-11
48,7934,1620,2025-09-24,2025-10-09
49,3573,2346,2026-04-25,2026-05-24
50,1299,4103,2026-04-10,2026-05-04
51,235,4654,2025-11-08,2025-11-22
52,131,1014,2025-10-17,2025-10-29
53,7277,271,2025-06-22,2025-07-11
54,9201,1727,2025-12-15,2026-01-10
55,2615,2708,2026-05-10,
56,9564,4569,2025-08-04,2025-08-12
57,8393,4950,2026-02-19,2026-02-25
58,3777,2021,2026-02-11,
59,5438,2287,2025-11-12,2025-11-29
60,5678,76,2025-09-12,2025-10-07
61,146,929,2026-01-28,
62,9090,2396,2026-05-20,2026-05-23
63,6649,3165,2026-03-31,2026-04-01
64,786,936,2026-03-22,2026-04-10
65,8785,2846,2025-08-27,2025-09-16
66,6345,2026,2026-05-25,2026-06-01
67,1850,2371,2025-11-12,2025-11-25
68,1179,728,2026-03-29,2026-04-03
69,1844,4133,2026-05-27,2026-06-15
70,9706,1006,2025-09-08,2025-10-06
71,4791,2215,2026-04-21,
72,1864,624,2026-01-01,2026-01-08
73,2018,4692,2025-07-16,
74,4809,4634,2025-12-09,2026-01-05
75,3005,2910,2025-12-04,2025-12-26
76,5885,3419,2026-03-14,
77,5890,3728,2026-03-27,
78,4364,4113,2026-01-29,2026-02-13
79,5854,432,2025-10-16,2025-10-26
80,9486,965,2025-09-09,2025-10-01
81,1732,1635,2025-10-23,2025-11-09
82,9196,2633,2026-03-14,2026-03-29
83,654,4797,2025-11-08,2025-11-19
84,8898,972,2026-03-30,
85,3710,3091,2025-10-28,2025-11-15
86,3766,4861,2025-09-23,
87,4902,3075,2025-11-07,2025-11-08
88,8532,2297,2026-03-13,2026-04-03
89,5252,172,2025-08-12,2025-09-07
90,6811,2721,2025-07-30,
91,2225,1488,2026-05-29,
92,5483,2174,2026-03-29,2026-04-09
93,6086,1856,2026-03-03,2026-03-07
94,9491,3132,2026-03-22,2026-04-11
95,8370,3376,2025-06-28,2025-07-19
96,1960,1965,2025-07-27,
97,3100,1497,2025-09-25,2025-10-09
98,9383,1329,2025-12-18,
99,3909,4257,2025-10-20,
100,6318,3997,2025-08-27,
101,8092,2203,2025-11-06,
102,2009,3188,2026-03-03,2026-03-19
103,6327,1646,2026-04-13,
104,8210,3679,2025-12-09,2025-12-10
105,4464,1357,2025-09-29,
106,938,2497,2025-09-03,2025-09-09
107,8572,1102,2026-05-24,
108,193,2568,2025-10-18,2025-10-31
109,4483,3639,2025-07-08,2025-07-17
110,546,2718,2026-05-23,
111,2693,4102,2025-07-07,
112,8577,4627,2026-03-28,
113,5459,2614,2025-12-29,
114,1021,3518,2025-08-07,2025-09-01
115,3879,310,2025-12-18,2025-12-27
116,6878,3823,2026-03-03,2026-03-26
117,391,843,2026-03-01,2026-03-02
118,3704,2203,2025-10-01,
119,5539,1925,2025-07-22,2025-08-19
120,5078,1449,2025-08-11,2025-09-05
121,7723,2635,2025-11-15,2025-11-23
122,8217,4320,2025-07-26,2025-08-12
123,8040,2371,2026-03-10,2026-04-04
124,6510,1754,2025-10-07,2025-10-21
125,975,4117,2026-05-02,2026-05-20
126,4377,4815,2025-07-30,
127,9551,4084,2026-05-02,2026-05-29
128,4066,4164,2025-10-03,2025-10-12
129,6467,1110,2026-05-18,
130,5163,4835,2026-06-08,2026-06-20
131,8446,3147,2026-05-25,2026-06-18
132,4377,3842,2025-08-01,2025-08-04
133,9340,4725,2025-06-15,
